app_config_id,deadline,delta_t,e_fail,e_fail_multiplier,lambda,num_nodes,repetition_id,restart_overhead,dynamic__off__off,dynamic__independent__off,random__off__off,random__independent__off,static_foresighted_expected_error__off__off,static_foresighted_expected_error__independent__off,static_foresighted_error_level__off__off,static_foresighted_error_level__independent__off,static_foresighted_probability_success__off__off,static_foresighted_probability_success__independent__off,static_foresighted_success_error_ratio__off__off,static_foresighted_success_error_ratio__independent__off,static_nearsighted_expected_error__off__off,static_nearsighted_expected_error__independent__off,static_nearsighted_error_level__off__off,static_nearsighted_error_level__independent__off,static_nearsighted_probability_success__off__off,static_nearsighted_probability_success__independent__off,static_nearsighted_success_error_ratio__off__off,static_nearsighted_success_error_ratio__independent__off,num_tasks,num_options_per_task,p_fastest_single,p_slowest_single,max_error,min_error
2,10000.0,5.0,12057.8797,5.0,0.001,1,1,0.0,38.4922,38.4922,150.635,82.3547,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
2,10000.0,5.0,4823.1519,2.0,0.001,1,2,0.0,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
2,10000.0,5.0,12057.8797,5.0,0.001,1,2,0.0,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
2,10000.0,5.0,4823.1519,2.0,0.001,1,3,0.0,38.4922,38.4922,4823.15,4823.15,38.4922,38.4922,4823.15,4823.15,150.635,150.635,4823.15,4823.15,38.4922,38.4922,4823.15,4823.15,150.635,150.635,4823.15,4823.15,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
2,10000.0,5.0,12057.8797,5.0,0.001,1,3,0.0,38.4922,38.4922,12057.9,12057.9,38.4922,38.4922,12057.9,12057.9,150.635,150.635,12057.9,12057.9,38.4922,38.4922,12057.9,12057.9,150.635,150.635,12057.9,12057.9,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
2,10000.0,5.0,4823.1519,2.0,0.001,1,4,0.0,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
2,10000.0,5.0,12057.8797,5.0,0.001,1,4,0.0,12057.9,12057.9,150.635,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
2,10000.0,5.0,4823.1519,2.0,0.001,1,5,0.0,38.4922,38.4922,64.5638,1722.6,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
2,10000.0,5.0,12057.8797,5.0,0.001,1,5,0.0,38.4922,38.4922,198.135,264.127,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
2,10000.0,5.0,4823.1519,2.0,0.001,1,6,0.0,38.4922,38.4922,4823.15,4823.15,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
